sentiment,text,username
negative,"@RepKarenBass Carine, a 24year old HND holder in nursing has been shot dead by Cameroun military. The military brok… https://t.co/eQAqnt1OJ1",Benjee4freedom1
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,chineduonwudie1
neutral,Cameroon 2-0 Nigeria J'encourage les #LionsIndomptables 🇨🇲 dans ce match de la #TotalAFCON2019 contre le Nigéria 🇳🇬… https://t.co/SIQlxKYuQM,boirichkhalifa
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Thuglovve1
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether,franklinfreem25
neutral,RT @WesleyL10: The entrance by Cameroon 🔥 🔥 🔥  https://t.co/lYvtYEFZIa,AmbMAO
positive,RT @Fly4cheaperLtd: Predict the outcome of the match between Nigeria vs Cameroon and stand a chance to win loads of airtime. \n\nRules: Follo…,ChooseToGud1
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Samchidoka
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Nojuma17
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Jesseorodriguez
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,mycoolbreeze
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,martinx_m
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Know_timmy
positive,"RT @DVervoort94: Last #FourthOfJuly, I arrived in Boston to join @HarvardPGSSC - turned out to be best year of my life.\n\nNow, so thrilled P…",InciSioNGlobal
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,Vibrantkaybee
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,_OPEYEOLUWA_
positive,RT @Fly4cheaperLtd: Predict the outcome of the match between Nigeria vs Cameroon and stand a chance to win loads of airtime. \n\nRules: Follo…,Koshefowora1
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,mosa_sadeeq
neutral,RT @NuhuAdams_: My #AFCON2019 Quarter-finalists\n\nMorocco 🇲🇦 \nSenegal 🇸🇳\nMadagascar 🇲🇬\nCameroon 🇨🇲\nEgypt 🇪🇬\nAlgeria 🇩🇿 \nGhana 🇬🇭\nIvory Coast…,pelmzy4real
positive,"RT @Reuters: Tens of thousands have left Cameroon due to violence, with many arriving in neighboring Nigeria. Lucia Ikuru has opened her do…",PaquesG
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether,A_djao_89
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,lyonkelv
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,YankeesXXXX
negative,I cheer for the #IndomitableLions 🦁🇨🇲 in this #TotalAFCON2019 game against Nigeria 🇳🇬! Go Cameroon! #NGACMR #FootballTogether,Babykayla27
neutral,RT @Lino_Al_Faheed: @WebbDeveja From Cameroon without Peace 😔 https://t.co/EmyYSSNfAa,Mamsy96
positive,@Football2Gether @NGSuperEagles @FecafootOfficie If we loose to cameroon its fine but not ghana..but eagle will sco… https://t.co/yg6N3NDbbu,RockTenure
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,victoranilaju
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,kingjussii2000
neutral,Le tout premier drone made un cameroon oui mais génie africain??\nce jeune n'a rien inventé. https://t.co/7HCbugzc1H,anicetwang
neutral,BBC News Pidgin - Paul Biya: Swiss court sentence Cameroon President e body guards for seka 'barbaric behaviour'… https://t.co/GozZ4dnyGs,GiliComms
neutral,I cheer for the #SuperEagles 🦅 🇳🇬 in the #TotalAFCON2019 against Cameroon 🇨🇲! Go Nigeria! #NGACMR #FootballTogether,blvckmiles
